Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2013,December,1
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2013,December,2
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,3
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,4
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2013,December,5
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,6
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,8
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,9
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,10
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,11
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,12
Orange,Kg,50.0,55.0,52.5,Late Autumn,Fruit,2013,December,13
Orange,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2013,December,15
Orange,Kg,50.0,55.0,52.5,Late Autumn,Fruit,2013,December,16
Orange,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2013,December,18
Orange,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2013,December,19
Orange,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2013,December,20
Orange,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2013,December,22
Orange,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2013,December,23
Orange,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2013,December,24
Orange,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2013,December,26
Orange,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2013,December,27
Orange,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2013,December,29
Orange,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2013,December,31
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,November,1
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,November,3
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,November,4
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,November,5
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,November,6
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,November,7
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,November,10
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,November,11
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,November,12
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,November,13
Orange,Kg,80.0,90.0,85.0,Early Autumn,Fruit,2013,November,14
Orange,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2013,November,15
Orange,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2013,November,16
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2013,November,17
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2013,November,18
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2013,November,20
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2013,November,21
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2013,November,22
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2013,November,24
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2013,November,25
Orange,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2013,November,26
Orange,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2013,November,27
Orange,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2013,November,28
Orange,Kg,50.0,70.0,60.0,Late Autumn,Fruit,2013,November,29
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,October,2
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,October,3
Orange,Kg,60.0,70.0,65.0,Early Autumn,Fruit,2013,October,4
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,October,6
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,October,7
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,October,8
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,October,9
Orange,Kg,80.0,90.0,85.0,Early Autumn,Fruit,2013,October,10
Orange,Kg,80.0,90.0,85.0,Early Autumn,Fruit,2013,October,11
Orange,Kg,80.0,90.0,85.0,Early Autumn,Fruit,2013,October,12
Orange,Kg,80.0,90.0,85.0,Early Autumn,Fruit,2013,October,13
Orange,Kg,80.0,90.0,85.0,Early Autumn,Fruit,2013,October,14
Orange,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2013,October,15
Orange,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2013,October,16
Orange,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2013,October,17
Orange,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2013,October,20
Orange,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2013,October,21
Orange,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2013,October,22
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,October,23
Orange,Kg,80.0,90.0,85.0,Early Autumn,Fruit,2013,October,24
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,October,25
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,October,27
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,October,28
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,October,29
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,October,30
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,October,31
Orange,Kg,75.0,80.0,77.5,Early Autumn,Fruit,2013,September,24
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,September,26
Orange,Kg,80.0,90.0,85.0,Early Autumn,Fruit,2013,September,27
Orange,Kg,80.0,90.0,85.0,Early Autumn,Fruit,2013,September,29
Orange,Kg,90.0,100.0,95.0,Spring,Fruit,2014,April,1
Orange,Kg,90.0,110.0,100.0,Spring,Fruit,2014,April,2
Orange,Kg,90.0,100.0,95.0,Spring,Fruit,2014,April,3
Orange,Kg,100.0,110.0,105.0,Spring,Fruit,2014,April,4
Orange,Kg,95.0,100.0,97.5,Spring,Fruit,2014,April,6
Orange,Kg,95.0,100.0,97.5,Spring,Fruit,2014,April,7
Orange,Kg,100.0,110.0,105.0,Spring,Fruit,2014,April,9
Orange,Kg,100.0,110.0,105.0,Spring,Fruit,2014,April,10
Orange,Kg,100.0,110.0,105.0,Spring,Fruit,2014,April,11
Orange,Kg,100.0,110.0,105.0,Spring,Fruit,2014,April,13
Orange,Kg,100.0,110.0,105.0,Spring,Fruit,2014,April,15
Orange,Kg,120.0,125.0,122.5,Spring,Fruit,2014,April,16
Orange,Kg,120.0,130.0,125.0,Spring,Fruit,2014,April,17
Orange,Kg,120.0,130.0,125.0,Spring,Fruit,2014,April,18
Orange,Kg,120.0,130.0,125.0,Spring,Fruit,2014,April,20
Orange,Kg,120.0,130.0,125.0,Spring,Fruit,2014,April,21
Orange,Kg,140.0,150.0,145.0,Spring,Fruit,2014,April,23
Orange,Kg,140.0,150.0,145.0,Spring,Fruit,2014,April,25
Orange,Kg,130.0,140.0,135.0,Spring,Fruit,2014,April,27
Orange,Kg,200.0,210.0,205.0,Spring,Fruit,2014,April,28
Orange,Kg,190.0,200.0,195.0,Spring,Fruit,2014,April,29
Orange,Kg,190.0,200.0,195.0,Spring,Fruit,2014,April,30
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,December,1
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,December,2
Orange,Kg,60.0,65.0,62.5,Late Autumn,Fruit,2014,December,3
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,December,4
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,December,5
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,December,6
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,December,7
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2014,December,8
Orange,Kg,50.0,70.0,60.0,Late Autumn,Fruit,2014,December,9
Orange,Kg,55.0,70.0,62.5,Late Autumn,Fruit,2014,December,10
Orange,Kg,60.0,65.0,62.5,Late Autumn,Fruit,2014,December,11
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,December,12
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,December,13
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,December,14
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2014,December,15
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,December,16
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,December,17
Orange,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2014,December,18
Orange,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2014,December,19
Orange,Kg,70.0,77.0,73.5,Late Autumn,Fruit,2014,December,21
Orange,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2014,December,22
Orange,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2014,December,23
Orange,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2014,December,24
Orange,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2014,December,25
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2014,December,26
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2014,December,27
Orange,Kg,50.0,55.0,52.5,Late Autumn,Fruit,2014,December,28
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2014,December,29
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2014,December,30
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2014,December,31
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2014,February,2
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2014,February,3
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2014,February,4
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2014,February,5
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2014,February,6
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2014,February,7
Orange,Kg,80.0,90.0,85.0,Winter,Fruit,2014,February,8
Orange,Kg,50.0,60.0,55.0,Winter,Fruit,2014,February,9
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2014,February,10
Orange,Kg,50.0,60.0,55.0,Winter,Fruit,2014,February,11
Orange,Kg,50.0,60.0,55.0,Winter,Fruit,2014,February,12
Orange,Kg,50.0,60.0,55.0,Winter,Fruit,2014,February,13
Orange,Kg,50.0,60.0,55.0,Winter,Fruit,2014,February,14
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2014,February,16
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2014,February,17
Orange,Kg,70.0,80.0,75.0,Winter,Fruit,2014,February,18
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2014,February,20
Orange,Kg,50.0,60.0,55.0,Winter,Fruit,2014,February,21
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2014,February,23
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2014,February,24
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2014,February,25
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2014,February,26
Orange,Kg,70.0,80.0,75.0,Winter,Fruit,2014,February,28
Orange,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2014,January,1
Orange,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2014,January,2
Orange,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2014,January,3
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2014,January,5
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2014,January,6
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2014,January,7
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,January,8
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,January,9
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2014,January,10
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,January,12
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,January,13
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,January,14
Orange,Kg,65.0,70.0,67.5,Winter,Fruit,2014,January,16
Orange,Kg,65.0,70.0,67.5,Winter,Fruit,2014,January,17
Orange,Kg,65.0,80.0,72.5,Winter,Fruit,2014,January,19
Orange,Kg,70.0,80.0,75.0,Winter,Fruit,2014,January,20
Orange,Kg,80.0,90.0,85.0,Winter,Fruit,2014,January,21
Orange,Kg,80.0,90.0,85.0,Winter,Fruit,2014,January,22
Orange,Kg,70.0,80.0,75.0,Winter,Fruit,2014,January,23
Orange,Kg,70.0,80.0,75.0,Winter,Fruit,2014,January,24
Orange,Kg,80.0,90.0,85.0,Winter,Fruit,2014,January,26
Orange,Kg,75.0,90.0,82.5,Winter,Fruit,2014,January,27
Orange,Kg,80.0,90.0,85.0,Winter,Fruit,2014,January,28
Orange,Kg,50.0,60.0,55.0,Winter,Fruit,2014,January,29
Orange,Kg,65.0,70.0,67.5,Winter,Fruit,2014,March,3
Orange,Kg,70.0,75.0,72.5,Winter,Fruit,2014,March,5
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2014,March,6
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2014,March,7
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2014,March,9
Orange,Kg,70.0,80.0,75.0,Winter,Fruit,2014,March,10
Orange,Kg,70.0,80.0,75.0,Winter,Fruit,2014,March,11
Orange,Kg,70.0,80.0,75.0,Winter,Fruit,2014,March,12
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2014,March,13
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2014,March,14
Orange,Kg,60.0,70.0,65.0,Spring,Fruit,2014,March,17
Orange,Kg,70.0,80.0,75.0,Spring,Fruit,2014,March,18
Orange,Kg,75.0,80.0,77.5,Spring,Fruit,2014,March,19
Orange,Kg,75.0,80.0,77.5,Spring,Fruit,2014,March,20
Orange,Kg,60.0,80.0,70.0,Spring,Fruit,2014,March,21
Orange,Kg,60.0,70.0,65.0,Spring,Fruit,2014,March,23
Orange,Kg,85.0,95.0,90.0,Spring,Fruit,2014,March,24
Orange,Kg,90.0,95.0,92.5,Spring,Fruit,2014,March,25
Orange,Kg,90.0,95.0,92.5,Spring,Fruit,2014,March,26
Orange,Kg,90.0,100.0,95.0,Spring,Fruit,2014,March,27
Orange,Kg,90.0,95.0,92.5,Spring,Fruit,2014,March,28
Orange,Kg,90.0,100.0,95.0,Spring,Fruit,2014,March,31
Orange,Kg,190.0,200.0,195.0,Spring,Fruit,2014,May,2
Orange,Kg,50.0,55.0,52.5,Early Autumn,Fruit,2014,November,1
Orange,Kg,50.0,55.0,52.5,Early Autumn,Fruit,2014,November,2
Orange,Kg,50.0,55.0,52.5,Early Autumn,Fruit,2014,November,3
Orange,Kg,45.0,55.0,50.0,Early Autumn,Fruit,2014,November,4
Orange,Kg,45.0,50.0,47.5,Early Autumn,Fruit,2014,November,5
Orange,Kg,50.0,60.0,55.0,Early Autumn,Fruit,2014,November,6
Orange,Kg,50.0,60.0,55.0,Early Autumn,Fruit,2014,November,7
Orange,Kg,40.0,45.0,42.5,Early Autumn,Fruit,2014,November,8
Orange,Kg,40.0,45.0,42.5,Early Autumn,Fruit,2014,November,9
Orange,Kg,50.0,55.0,52.5,Early Autumn,Fruit,2014,November,10
Orange,Kg,45.0,50.0,47.5,Early Autumn,Fruit,2014,November,11
Orange,Kg,50.0,60.0,55.0,Early Autumn,Fruit,2014,November,12
Orange,Kg,50.0,55.0,52.5,Early Autumn,Fruit,2014,November,13
Orange,Kg,50.0,55.0,52.5,Early Autumn,Fruit,2014,November,14
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2014,November,15
Orange,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2014,November,16
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2014,November,17
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,November,18
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,November,19
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,November,20
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,November,21
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,November,22
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2014,November,23
Orange,Kg,60.0,65.0,62.5,Late Autumn,Fruit,2014,November,24
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,November,25
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,November,26
Orange,Kg,60.0,65.0,62.5,Late Autumn,Fruit,2014,November,27
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,November,28
Orange,Kg,60.0,65.0,62.5,Late Autumn,Fruit,2014,November,29
Orange,Kg,60.0,65.0,62.5,Late Autumn,Fruit,2014,November,30
Orange,Kg,65.0,75.0,70.0,Early Autumn,Fruit,2014,October,8
Orange,Kg,60.0,65.0,62.5,Early Autumn,Fruit,2014,October,9
Orange,Kg,65.0,70.0,67.5,Early Autumn,Fruit,2014,October,10
Orange,Kg,60.0,70.0,65.0,Early Autumn,Fruit,2014,October,12
Orange,Kg,65.0,70.0,67.5,Early Autumn,Fruit,2014,October,13
Orange,Kg,65.0,70.0,67.5,Early Autumn,Fruit,2014,October,14
Orange,Kg,65.0,70.0,67.5,Early Autumn,Fruit,2014,October,16
Orange,Kg,65.0,70.0,67.5,Early Autumn,Fruit,2014,October,17
Orange,Kg,65.0,70.0,67.5,Early Autumn,Fruit,2014,October,19
Orange,Kg,65.0,70.0,67.5,Early Autumn,Fruit,2014,October,20
Orange,Kg,65.0,70.0,67.5,Early Autumn,Fruit,2014,October,21
Orange,Kg,65.0,70.0,67.5,Early Autumn,Fruit,2014,October,22
Orange,Kg,65.0,75.0,70.0,Early Autumn,Fruit,2014,October,23
Orange,Kg,45.0,65.0,55.0,Early Autumn,Fruit,2014,October,24
Orange,Kg,55.0,60.0,57.5,Early Autumn,Fruit,2014,October,25
Orange,Kg,45.0,50.0,47.5,Early Autumn,Fruit,2014,October,26
Orange,Kg,55.0,60.0,57.5,Early Autumn,Fruit,2014,October,28
Orange,Kg,50.0,60.0,55.0,Early Autumn,Fruit,2014,October,29
Orange,Kg,48.0,55.0,51.5,Early Autumn,Fruit,2014,October,30
Orange,Kg,48.0,50.0,49.0,Early Autumn,Fruit,2014,October,31
Orange,Kg,60.0,65.0,62.5,Summer Monsoon,Fruit,2014,September,7
Orange,Kg,65.0,70.0,67.5,Early Autumn,Fruit,2014,September,29
Orange,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2014,September,30
Orange,Kg,60.0,65.0,62.5,Spring,Fruit,2015,April,1
Orange,Kg,60.0,65.0,62.5,Spring,Fruit,2015,April,2
Orange,Kg,70.0,80.0,75.0,Spring,Fruit,2015,April,3
Orange,Kg,70.0,80.0,75.0,Spring,Fruit,2015,April,4
Orange,Kg,70.0,80.0,75.0,Spring,Fruit,2015,April,5
Orange,Kg,70.0,80.0,75.0,Spring,Fruit,2015,April,6
Orange,Kg,75.0,80.0,77.5,Spring,Fruit,2015,April,7
Orange,Kg,75.0,80.0,77.5,Spring,Fruit,2015,April,8
Orange,Kg,75.0,80.0,77.5,Spring,Fruit,2015,April,10
Orange,Kg,60.0,65.0,62.5,Spring,Fruit,2015,April,12
Orange,Kg,65.0,70.0,67.5,Spring,Fruit,2015,April,13
Orange,Kg,80.0,85.0,82.5,Spring,Fruit,2015,April,14
Orange,Kg,60.0,65.0,62.5,Spring,Fruit,2015,April,15
Orange,Kg,65.0,70.0,67.5,Spring,Fruit,2015,April,16
Orange,Kg,65.0,70.0,67.5,Spring,Fruit,2015,April,17
Orange,Kg,60.0,75.0,67.5,Spring,Fruit,2015,April,18
Orange,Kg,80.0,90.0,85.0,Spring,Fruit,2015,April,19
Orange,Kg,80.0,90.0,85.0,Spring,Fruit,2015,April,20
Orange,Kg,80.0,85.0,82.5,Spring,Fruit,2015,April,21
Orange,Kg,70.0,75.0,72.5,Spring,Fruit,2015,April,22
Orange,Kg,70.0,80.0,75.0,Spring,Fruit,2015,April,23
Orange,Kg,70.0,80.0,75.0,Spring,Fruit,2015,April,24
Orange,Kg,70.0,80.0,75.0,Spring,Fruit,2015,April,25
Orange,Kg,80.0,90.0,85.0,Spring,Fruit,2015,April,26
Orange,Kg,80.0,90.0,85.0,Spring,Fruit,2015,April,27
Orange,Kg,90.0,100.0,95.0,Spring,Fruit,2015,April,28
Orange,Kg,90.0,100.0,95.0,Spring,Fruit,2015,April,29
Orange,Kg,70.0,80.0,75.0,Spring,Fruit,2015,April,30
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2015,December,1
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2015,December,2
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2015,December,3
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2015,December,4
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2015,December,5
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2015,December,6
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2015,December,7
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2015,December,8
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2015,December,9
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2015,December,10
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2015,December,11
Orange,Kg,50.0,70.0,60.0,Late Autumn,Fruit,2015,December,12
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2015,December,13
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2015,December,14
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2015,December,15
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2015,December,16
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2015,December,17
Orange,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2015,December,18
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2015,December,19
Orange,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2015,December,20
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2015,December,21
Orange,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2015,December,22
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2015,December,23
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2015,December,24
Orange,Kg,50.0,70.0,60.0,Late Autumn,Fruit,2015,December,25
Orange,Kg,55.0,70.0,62.5,Late Autumn,Fruit,2015,December,26
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2015,December,27
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2015,December,28
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2015,December,29
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2015,December,30
Orange,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2015,December,31
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,February,1
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,February,2
Orange,Kg,70.0,80.0,75.0,Winter,Fruit,2015,February,3
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,February,4
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,February,5
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,February,6
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,February,7
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,February,8
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,February,9
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,February,10
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,February,11
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,February,12
Orange,Kg,70.0,80.0,75.0,Winter,Fruit,2015,February,13
Orange,Kg,50.0,60.0,55.0,Winter,Fruit,2015,February,14
Orange,Kg,50.0,60.0,55.0,Winter,Fruit,2015,February,15
Orange,Kg,50.0,60.0,55.0,Winter,Fruit,2015,February,16
Orange,Kg,50.0,60.0,55.0,Winter,Fruit,2015,February,18
Orange,Kg,50.0,60.0,55.0,Winter,Fruit,2015,February,19
Orange,Kg,50.0,60.0,55.0,Winter,Fruit,2015,February,20
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,February,22
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,February,23
Orange,Kg,70.0,80.0,75.0,Winter,Fruit,2015,February,24
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,February,25
Orange,Kg,50.0,70.0,60.0,Winter,Fruit,2015,February,26
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2015,January,1
Orange,Kg,50.0,55.0,52.5,Late Autumn,Fruit,2015,January,2
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2015,January,3
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2015,January,4
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2015,January,5
Orange,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2015,January,6
Orange,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2015,January,7
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2015,January,8
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2015,January,9
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2015,January,11
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2015,January,12
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2015,January,13
Orange,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2015,January,14
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,January,15
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,January,16
Orange,Kg,55.0,60.0,57.5,Winter,Fruit,2015,January,17
Orange,Kg,55.0,60.0,57.5,Winter,Fruit,2015,January,18
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,January,19
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,January,20
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,January,21
Orange,Kg,60.0,65.0,62.5,Winter,Fruit,2015,January,22
Orange,Kg,60.0,65.0,62.5,Winter,Fruit,2015,January,23
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,January,25
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,January,26
Orange,Kg,70.0,80.0,75.0,Winter,Fruit,2015,January,27
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,January,28
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,January,29
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,January,31
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,March,1
Orange,Kg,60.0,70.0,65.0,Winter,Fruit,2015,March,2
Orange,Kg,70.0,80.0,75.0,Winter,Fruit,2015,March,3
Orange,Kg,70.0,80.0,75.0,Winter,Fruit,2015,March,6
Orange,Kg,70.0,80.0,75.0,Winter,Fruit,2015,March,10
